customer_number;salutation;title;name;last_name;birth_date;street;street_number;postcode;town;phone_number;mobile_number;fax;e_mail;newsletter
33;Herr;;Noel;Hamann;21.01.1945;Münsterstr.;53;54673;Scheitenkorb;06564/29832338;0174/6161569;06564/49680383;noel.hamann@mail.xyz;1
34;Herr;;Noel;Rosenberger;17.05.1957;Ostmarkstr.;46;90542;Eckental;09126/3021764;0169/4696433;09126/46231316;n.rosenberger@mail.xyz;1
36;Herr;;Matteo;Gabel;12.11.1944;Telemannstr.;17;76857;Silz;06346/44764948;0156/1673431;06346/15346249;matteo.gabel@mail.xyz;1
37;Herr;;Rolf;Manske;25.03.1961;Heinrichstr.;35;54451;Irsch;06581/52730745;0170/3283481;06581/58909097;r.manske@mail.xyz;1
38;Herr;;Thies;Bartmann;03.10.1973;Starweg;64;36320;Kirtorf;06635/20983242;0157/9300842;06635/39476907;thies.bartmann@mail.xyz;1
39;Herr;;Otto;Diekmann;02.02.1938;Dreizehnerstr.;145;97456;Dittelbrunn;09721/66643815;0159/4096891;09721/83903898;o.diekmann@mail.xyz;1
40;Herr;;Dirk;Long;26.09.1963;Gasselstiege;184;56850;Enkirch;06541/78779122;0171/3192643;06541/80847229;dirk.long@mail.xyz;1
41;Herr;;Timon;Ortega;27.11.1973;Kochwiesenstr.;94;76189;Karlsruhe;0721/35103899;0170/4630862;0721/38078615;t.ortega@mail.xyz;1
42;Frau;;Mia;Dreher;24.02.1998;Zur Wiese;114;39110;Magdeburg;0391/78541971;0177/7033918;0391/71435907;m.dreher@mail.xyz;1
43;Herr;;Dario;Cohen;26.05.1975;Willingrott;189;54320;Waldrach;06500/40801437;0157/6184099;06500/43318393;dario.cohen@mail.xyz;1
44;Frau;;Svea;Sharp;15.12.1987;Im Sonnentau;99;17237;Klein Vielen;03981/16879708;0177/3818510;03981/31222546;s.sharp@mail.xyz;1
45;Frau;;Martina;Zapf;11.12.1969;Hofstr.;3;06618;Schönburg;03445/48897673;0163/8251332;03445/12870693;m.zapf@mail.xyz;1
46;Herr;;Jannick;Kasten;12.06.1926;Studtstr.;115;01109;Dresden;0351/73337833;0160/9651028;0351/46182362;j.kasten@mail.xyz;1
47;Frau;;Ute;Weinmann;01.04.1921;Manfred-von-Richthofen-Str.;166;80637;München;089/26505304;0164/2185992;089/57117447;ute.weinmann@mail.xyz;1
49;Herr;;Philipp;Lederer;09.05.1989;Dammstr.;74;36167;Nüsttal;06684/48344427;0153/1647383;06684/96033367;philipp.lederer@mail.xyz;1
50;Frau;;Charlotte;Häcker;10.04.1936;Dingbüngerweg;45;21447;Handorf;04131/66343532;0165/9305287;04131/61403386;charlotte.haecker@mail.xyz;1
51;Herr;;Elias;Maack;26.11.1975;Goldregenweg;69;46535;Dinslaken;02064/72057711;0173/2826069;02064/68822559;e.maack@mail.xyz;1
52;Herr;;Henning;Seliger;10.07.1986;Jakobusstr.;38;54340;Klüsserath;06502/70122539;0173/7652293;06502/56962708;henning.seliger@mail.xyz;1
53;Herr;;Phillip;Garza;24.05.1992;Eifelstr.;13;27324;Eystrup;04254/17837452;0160/7482248;04254/6393174;phillip.garza@mail.xyz;1
54;Frau;;Anica;Gross;06.06.1937;Heinrichstr.;166;88379;Guggenhausen;07503/21985435;0156/8689815;07503/27788197;a.gross@mail.xyz;1
55;Herr;;Günther;Silva;20.07.1939;Hogenbergstr.;124;54552;Neichen;02692/16113330;0152/7097902;02692/80441595;guenther.silva@mail.xyz;1
56;Herr;;Julius;Schüller;26.06.1979;Sentmaringer Weg;134;94336;Hunderdorf;09422/76673801;0150/1336605;09422/81655719;j.schueller@mail.xyz;1
57;Frau;;Malin;Krull;04.02.1920;Liboristr.;91;60528;Frankfurt am Main;069/74155588;0179/3736611;069/23563520;malin.krull@mail.xyz;1
58;Frau;;Anja;Körber;09.05.1926;Im Haubenfeld;146;73447;Oberkochen;07364/33189786;0171/4305204;07364/37055913;a.koerber@mail.xyz;1
59;Herr;;Cedric;Murray;16.08.1972;Widdeshover Weg;64;54636;Eßlingen;06561/90670504;0161/9602024;06561/77410502;c.murray@mail.xyz;1
61;Herr;;Leif;Schultz;04.05.1942;Mierendorffstr.;167;39387;Hornhausen;03949/87550733;0156/5098531;03949/16230026;leif.schultz@mail.xyz;1
62;Frau;;Brigitte;Springer;06.08.1951;Weserstr.;140;65551;Limburg an der Lahn;06431/88377296;0164/3631647;06431/25467214;b.springer@mail.xyz;1
63;Herr;;Thorsten;Dixon;14.05.1958;Wiedehagen;148;79541;Lürrach;07621/25256583;0172/4269726;07621/43358127;t.dixon@mail.xyz;1
64;Frau;;Luise;Brown;21.09.1943;Handorfer Str.;93;72649;Wolfschlugen;07022/27212998;0170/2972228;07022/37368270;luise.brown@mail.xyz;1
65;Herr;;Friedrich;Schuh;16.07.1978;Am Nubbenberg;31;84163;Marklkofen;08732/18449557;0175/7138547;08732/24375443;f.schuh@mail.xyz;1
66;Frau;;Anette;McDaniel;03.06.1925;Räckertstr.;133;56244;Weidenhahn;02626/50898955;0159/5177436;02626/67467667;anette.mcdaniel@mail.xyz;1
67;Frau;;Antonia;Chavez;10.12.1994;Weserstr.;73;73432;Arlesberg;07367/6566662;0155/7954397;07367/64349478;antonia.chavez@mail.xyz;1
68;Herr;;Justin;Cole;16.05.1942;Wollinstr.;199;95111;Rehau;09283/93798721;0178/3510045;09283/82868782;justin.cole@mail.xyz;1
69;Frau;;Bettina;Warneke;04.10.1933;Hirseweg;25;25724;Neufelderkoog;04851/27632455;0167/5355519;04851/76697533;b.warneke@mail.xyz;1
70;Frau;;Smilla;Petermann;13.01.1979;Böttcherstr.;10;58300;Wetter an der Ruhr;02335/99998790;0158/8565437;02335/94769395;s.petermann@mail.xyz;1
71;Frau;Dr.;Maike;Bartsch;08.11.1960;Sternstr.;126;56288;Hollnich;06762/1712071;0163/4637491;06762/62852131;maike.bartsch@mail.xyz;1
72;Frau;;Sophie;Kähler;01.02.1976;Erikahof;142;21734;Oederquart;04779/38830861;0153/8731387;04779/34562386;s.koehler@mail.xyz;1
73;Frau;;Isabella;Bormann;13.06.1933;Am Krausen Baum;131;56767;Mosbruch;02692/63681827;0156/5210290;02692/91291083;i.bormann@mail.xyz;1
74;Frau;;Ronja;Clemens;21.01.1973;Heisstr.;117;27251;Scholen;04277/49403081;0151/5751433;04277/16450196;r.clemens@mail.xyz;1
75;Frau;;Lea;Reinhardt;15.12.1937;Kempener Str.;70;35584;Wetzlar;06441/32745900;0174/9094842;06441/95899992;lea.reinhardt@mail.xyz;1
76;Herr;;Patrick;Seiffert;11.09.1924;Goebenstr.;117;44263;Dortmund;0231/64983842;0177/8110346;0231/7251428;patrick.seiffert@mail.xyz;1
77;Herr;;Mathies;Gaus;13.02.1981;Am Grauen Stein;41;93333;Neustadt an der Donau;09445/59287992;0177/7747924;09445/91880013;m.gaus@mail.xyz;1
78;Frau;;Maria;Kersten;12.06.1996;Hofstr.;128;72644;Oberboihingen;07022/51565771;0168/3713403;07022/45357350;maria.kersten@mail.xyz;1
79;Frau;;Louise;Krebs;09.08.1925;Dammstr.;78;01156;Dresden;0351/5369436;0174/8947020;0351/38923570;l.krebs@mail.xyz;1
80;Frau;;Margot;Reimer;07.04.1995;Enschedeweg;51;24241;Grevenkrug;04322/67652048;0176/9609156;04322/5452708;m.reimer@mail.xyz;1
81;Frau;;Amy;Ehret;12.02.1974;Salzmannstr.;121;35043;Marburg;06421/4751450;0165/7894031;06421/31829382;amy.ehret@mail.xyz;1
82;Herr;;Christof;Schwenke;09.01.1959;Heinrichstr.;6;54413;Rascheid;06503/58362121;0150/4396140;06503/64846876;c.schwenke@mail.xyz;1
83;Herr;;Erwin;Allison;09.09.1939;Buldernweg;13;17192;Kargow;03991/17348650;0170/2071790;03991/35211167;erwin.allison@mail.xyz;1
84;Herr;;Matthis;Gaida;23.04.1982;Breul;194;25836;Garding;04862/46022558;0155/5037154;04862/91349848;m.gaida@mail.xyz;1
85;Frau;;Anouk;Chapman;04.03.1923;Eibenweg;40;54655;Etteldorf;06563/87375950;0172/8915565;06563/50033042;a.chapman@mail.xyz;1
86;Herr;;Piet;Senger;21.12.1920;Catharina-Müller-Str.;56;86703;Rägling;09094/69523497;0166/2252335;09094/57823600;piet.senger@mail.xyz;1
87;Frau;;Maja;Cooper;13.10.1973;Häfferstr.;101;41464;Neuss;02131/99579788;0168/3524548;02131/14804272;m.cooper@mail.xyz;1
89;Frau;;Tara;Andres;05.10.1926;Eifelstr.;62;64289;Darmstadt;06151/81663050;0168/4153181;06151/96135066;t.andres@mail.xyz;1
90;Herr;;Georg;Orth;06.03.1932;Nieland;162;73240;Wendlingen am Neckar;07024/81675926;0168/4632632;07024/9290172;georg.orth@mail.xyz;1
91;Herr;;Daniel;Steinmetz;08.09.1987;Uhuweg;105;54636;Altscheid;06564/46852373;0179/6274228;06564/28511863;d.steinmetz@mail.xyz;1
92;Herr;;Mika;Welsch;11.02.1978;Am Brook;197;67657;Kaiserslautern;0631/62187410;0154/1285443;0631/11010012;m.welsch@mail.xyz;1
93;Herr;;Riccardo;Radtke;18.05.1936;Nienkamp;69;27412;Westertimke;04283/53174392;0153/1988671;04283/52331077;r.radtke@mail.xyz;1
94;Herr;;Bernt;Brauner;06.01.1988;Memmertweg;8;63916;Amorbach;09373/83891947;0151/1214886;09373/2455093;b.brauner@mail.xyz;1
95;Frau;;Nadine;Hacker;26.03.1958;Möserweg;120;71282;Hemmingen;07150/54711584;0175/1448044;07150/76503129;n.hacker@mail.xyz;1
96;Herr;Prof.;Frederic;Schleicher;10.07.1924;Hülsebrockstr.;171;24619;Bornhöved;04323/80472689;0179/6407883;04323/29346063;frederic.schleicher@mail.xyz;1
97;Herr;Dr.;Yannis;Behrend;11.04.1923;Hofstr.;152;49196;Bad Laer;05424/66193362;0160/6679993;05424/48660283;y.behrend@mail.xyz;1
98;Frau;;Lilian;Kahl;23.11.1952;Mecklenbecker Str.;129;67065;Ludwigshafen am Rhein;0621/70384375;0171/1654768;0621/18501075;lilian.kahl@mail.xyz;1
99;Herr;;Jürgen;Hagemann;01.07.1994;Schützenstr.;174;69517;Gorxheimertal;06201/64090892;0170/3264199;06201/72102952;j.hagemann@mail.xyz;1
100;Frau;;Elke;Herkules;10.08.1990;Breul;165;38553;Wasbüttel;05374/84038011;0152/1235464;05374/79925082;e.herkules@mail.xyz;1
